Symbol,Height,Backness,Roundedness
i,close,front,
y,close,front,rounded
ɨ,close,central,
ʉ,close,central,rounded
ɯ,close,back,
u,close,back,rounded
ɪ,near-close,near-front,
ʏ,near-close,near-front,rounded
ʊ,near-close,near-back,rounded
e,close-mid,front,
ø,close-mid,front,rounded
ɘ,close-mid,central,
ɵ,close-mid,central,rounded
ɤ,close-mid,back,
o,close-mid,back,rounded
e̞,mid,front,
ø̞,mid,front,rounded
ə,mid,central,
ɤ̞,mid,back,
o̞,mid,back,rounded
ɛ,open-mid,front,
œ,open-mid,front,rounded
ɜ,open-mid,central,
ɞ,open-mid,central,rounded
ʌ,open-mid,back,
ɔ,open-mid,back,rounded
æ,near-open,front,
ɐ,near-open,central,
a,open,front,
ɶ,open,front,rounded
ä,open,central,
ɑ,open,back,
ɒ,open,back,rounded
